index name x y z l
283 EElayerCell_03.0017.2 -0.969948 1.68 16.7675 3
284 EElayerCell_03.0018.2 -0.969948 -1.68 16.7675 3
285 EElayerCell_03.0019.2 0.969948 2.8 16.7675 3
286 EElayerCell_03.0020.2 0.969948 -2.8 16.7675 3
287 EElayerCell_03.0021.2 -0.969948 2.8 16.7675 3
288 EElayerCell_03.0022.2 -0.969948 -2.8 16.7675 3
289 EElayerCell_03.0023.2 0.969948 3.92 16.7675 3
290 EElayerCell_03.0024.2 0.969948 -3.92 16.7675 3
291 EElayerCell_03.0025.2 -0.969948 3.92 16.7675 3
292 EElayerCell_03.0026.2 -0.969948 -3.92 16.7675 3
293 EElayerCell_03.0027.2 0.969948 5.04 16.7675 3
294 EElayerCell_03.0028.2 0.969948 -5.04 16.7675 3
295 EElayerCell_03.0029.2 -0.969948 5.04 16.7675 3
296 EElayerCell_03.0030.2 -0.969948 -5.04 16.7675 3
297 EElayerCell_03.0031.2 0.969948 6.16 16.7675 3
298 EElayerCell_03.0032.2 0.969948 -6.16 16.7675 3
299 EElayerCell_03.0033.2 -0.969948 6.16 16.7675 3
300 EElayerCell_03.0034.2 -0.969948 -6.16 16.7675 3
301 EElayerCell_03.0035.2 1.9399 0 16.7675 3
302 EElayerCell_03.0036.2 -1.9399 0 16.7675 3
303 EElayerCell_03.0037.2 1.9399 1.12 16.7675 3
304 EElayerCell_03.0038.2 1.9399 -1.12 16.7675 3
305 EElayerCell_03.0039.2 -1.9399 1.12 16.7675 3
306 EElayerCell_03.0040.2 -1.9399 -1.12 16.7675 3
307 EElayerCell_03.0041.2 1.9399 2.24 16.7675 3
308 EElayerCell_03.0042.2 1.9399 -2.24 16.7675 3
309 EElayerCell_03.0043.2 -1.9399 2.24 16.7675 3
310 EElayerCell_03.0044.2 -1.9399 -2.24 16.7675 3
311 EElayerCell_03.0045.2 1.9399 3.36 16.7675 3
312 EElayerCell_03.0046.2 1.9399 -3.36 16.7675 3
313 EElayerCell_03.0047.2 -1.9399 3.36 16.7675 3
314 EElayerCell_03.0048.2 -1.9399 -3.36 16.7675 3
315 EElayerCell_03.0049.2 1.9399 4.48 16.7675 3
316 EElayerCell_03.0050.2 1.9399 -4.48 16.7675 3
317 EElayerCell_03.0051.2 -1.9399 4.48 16.7675 3
318 EElayerCell_03.0052.2 -1.9399 -4.48 16.7675 3
319 EElayerCell_03.0053.2 1.9399 5.6 16.7675 3
320 EElayerCell_03.0054.2 1.9399 -5.6 16.7675 3
321 EElayerCell_03.0055.2 -1.9399 5.6 16.7675 3
322 EElayerCell_03.0056.2 -1.9399 -5.6 16.7675 3
323 EElayerCell_03.0057.2 2.90985 0.56 16.7675 3
324 EElayerCell_03.0058.2 2.90985 -0.56 16.7675 3
325 EElayerCell_03.0059.2 -2.90985 0.56 16.7675 3
326 EElayerCell_03.0060.2 -2.90985 -0.56 16.7675 3
327 EElayerCell_03.0061.2 2.90985 1.68 16.7675 3
